datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-04-15,136175.6119492264,0.024235880876666657,4091830.53178604,0.38538118929270015,1842.7678796718471,0.0001504065903765682,121337.44373435558,14838.16821487085,0.0053777695
2025-04-16,134906.26036990262,-0.009174561886967064,4144244.2567639537,0.38489803150256036,1862.7678796718471,0.00014686917660011747,119821.14148988984,15085.118880012793,0.00036549568
2025-04-17,133528.85324134398,-0.010061854244841814,4198824.701882669,0.40458052108967857,1882.7678796718471,0.00014825108890544837,117901.88989469077,15626.963346653196,-0.005530715
2025-04-18,133317.0397855047,-0.0014364944443325883,4249241.3693257095,0.37757133547695637,1902.7678796718471,0.0001497803621802354,118503.16348577724,14813.876299727448,-0.009732008
2025-04-21,129465.64142977181,-0.028738999619982983,4300767.067631137,0.38648996698642113,1922.7678796718471,0.00015001833248156596,114585.32876330844,14880.312666463376,-0.02114153
2025-04-22,130918.06165041859,0.011373057781090774,4351380.2648609765,0.39093922272261566,1942.7678796718471,0.00015448114093536493,116227.68187777918,14690.379772639415,0.005358219
2025-04-23,125679.12746670398,-0.03986412659889789,4401222.792905928,0.3807154445812236,1962.7678796718471,0.00015276730916933837,111204.39305867327,14474.734408030707,-0.023389578
2025-04-24,125845.207029888,0.0014805924176495688,4452867.383174286,0.4109241630599379,1982.7678796718471,0.0001591354141545785,111014.33822498412,14830.868804903881,-0.00056934357
2025-04-25,127973.94686275595,0.017074466986713558,4503019.066344395,0.39851881810801204,2002.7678796718471,0.00015892540107030089,113398.2719295897,14575.67493316625,0.009886622
2025-04-28,128221.4873052282,0.002090585224812761,4553808.140470068,0.3968704206657062,2022.7678796718471,0.0001562818096205843,113560.01302671334,14661.474278514872,0.0051368475
2025-04-29,130437.12525554208,0.017435751193495292,4607548.84499265,0.4191240146408012,2042.7678796718471,0.00015598009678666785,115093.77899407124,15343.34626147084,0.0080477
2025-04-30,129613.82909813548,-0.0061584932651102585,4660747.059778957,0.40784565500109904,2062.7678796718474,0.00015333057947128023,114239.19294455273,15374.636153582747,-0.0066375136
2025-05-06,130151.17652280956,0.004261485279135437,4692216.998160591,0.24279769065234225,2077.7678796718474,0.00011572839182648434,119646.16999449521,10505.006528314347,-0.0052927136
2025-05-07,131912.59489986932,0.01365223118993038,4737984.9554364905,0.3516522746751974,2093.2034541429234,0.00011859727190688053,111892.22979826438,20020.36510160494,0.022531033
2025-05-08,132022.78849210983,0.0009910203292924395,4802369.74163404,0.4880867232308038,2113.737925137902,0.0001556672508077465,113087.05818374742,18935.730308362414,-0.009638846
2025-05-09,130123.29151306383,-0.014236155746387128,4854176.657518141,0.3924088899788464,2133.737925137902,0.00015148899844056297,114254.53420455188,15868.757308511944,-0.011866331
2025-05-12,133302.36186447644,0.02454649213274732,4886003.02996418,0.24458628486848202,2148.737925137902,0.00011527528873256379,122606.41436855694,10695.947495919489,0.0035743713
2025-05-13,130563.21491402219,-0.02043584909038436,4918174.792854286,0.24134428257778287,2163.737925137902,0.0001125261382483976,115313.77562408098,15249.43928994121,-0.01918602
2025-05-14,130348.67409382248,-0.0015283081098386385,4956762.727733353,0.29554982162838195,2178.737925137902,0.00011488687690386395,102417.94825927382,27930.72583454867,0.0015230179
